,Time,Part,Process,SubProcess,Resource,Event,Process_Type,Area,Memo
0,0.0,A0003_G710A,,,,part_created,,,
1,0.0,A0003_G710A,2야드 중조공장,,,Process_entered,,258.0204646017699,
2,0.0,A0003_G710A,2야드 중조공장,,,routing_ended,,,
3,0.0,A0003_G710A,2야드 중조공장,2야드 중조공장_0,,work_start,,,
4,6.0,A0004_A830A,,,,part_created,,,
5,6.0,A0005_A610A,,,,part_created,,,
6,6.0,A0004_A830A,외부,,,Process_entered,,327.74103241296524,
7,6.0,A0004_A830A,외부,,,routing_ended,,,
8,6.0,A0005_A610A,외부,,,Process_entered,,626.4496065940828,
9,6.0,A0005_A610A,외부,,,routing_ended,,,
10,6.0,A0004_A830A,외부,외부_0,,work_start,,,
11,6.0,A0005_A610A,외부,외부_1,,work_start,,,
12,8.0,A0002_A830A,,,,part_created,,,
13,8.0,A0002_A830A,외부,,,Process_entered,,948.554299734877,
14,8.0,A0002_A830A,외부,,,routing_ended,,,
15,8.0,A0002_A830A,외부,외부_2,,work_start,,,
16,9.0,A0003_G710A,2야드 중조공장,2야드 중조공장_0,,work_finish,,,
17,9.0,A0003_G710A,2야드 중조공장,2야드 중조공장_0,,"part_transferred_to_out_buffer, step = 0",,0.0,
18,9.0,A0001_A830A,,,,part_created,,,
19,9.0,A0003_G710A,Sink,,,completed,,,
20,9.0,A0001_A830A,외부,,,Process_entered,,1267.4694621897506,
21,9.0,A0001_A830A,외부,,,routing_ended,,,
22,9.0,A0001_A830A,외부,외부_3,,work_start,,,
23,22.0,A0002_A610A,,,,part_created,,,
24,22.0,A0002_A610A,외부,,,Process_entered,,1589.5741553305447,
25,22.0,A0002_A610A,외부,,,routing_ended,,,
26,22.0,A0002_A610A,외부,외부_4,,work_start,,,
27,26.0,A0001_A610A,,,,part_created,,,
28,26.0,A0001_A610A,외부,,,Process_entered,,1908.4893177854183,
29,26.0,A0001_A610A,외부,,,routing_ended,,,
30,26.0,A0001_A610A,외부,외부_5,,work_start,,,
31,31.0,A0003_B131P,,,,part_created,,,
32,31.0,A0003_B141P,,,,part_created,,,
33,31.0,A0003_B532P,,,,part_created,,,
34,31.0,A0005_V910A,,,,part_created,,,
35,31.0,A0005_V950A,,,,part_created,,,
36,31.0,A0003_B131P,외부,,,Process_entered,,2198.4893177854183,
37,31.0,A0003_B131P,외부,,,routing_ended,,,
38,31.0,A0003_B141P,외부,,,Process_entered,,2444.9893177854183,
39,31.0,A0003_B141P,외부,,,routing_ended,,,
40,31.0,A0003_B131P,외부,외부_6,,work_start,,,
41,31.0,A0003_B532P,외부,,,Process_entered,,2724.9893177854183,
42,31.0,A0003_B532P,외부,,,routing_ended,,,
43,31.0,A0003_B141P,외부,외부_7,,work_start,,,
44,31.0,A0005_V910A,외부,,,Process_entered,,3023.6978919665357,
45,31.0,A0005_V910A,외부,,,routing_ended,,,
46,31.0,A0003_B532P,외부,외부_8,,work_start,,,
47,31.0,A0005_V950A,외부,,,Process_entered,,3322.406466147653,
48,31.0,A0005_V950A,외부,,,routing_ended,,,
49,31.0,A0005_V910A,외부,외부_9,,work_start,,,
50,31.0,A0005_V950A,외부,외부_10,,work_start,,,
51,32.0,A0003_B131S,,,,part_created,,,
52,32.0,A0003_B141S,,,,part_created,,,
53,32.0,A0003_B532S,,,,part_created,,,
54,32.0,A0005_V920A,,,,part_created,,,
55,32.0,A0005_V940A,,,,part_created,,,
56,32.0,A0005_V960A,,,,part_created,,,
57,32.0,A0005_V980A,,,,part_created,,,
58,32.0,A0003_B131S,외부,,,Process_entered,,3612.406466147653,
59,32.0,A0003_B131S,외부,,,routing_ended,,,
60,32.0,A0003_B141S,외부,,,Process_entered,,3858.906466147653,
61,32.0,A0003_B141S,외부,,,routing_ended,,,
62,32.0,A0003_B131S,외부,외부_11,,work_start,,,
63,32.0,A0003_B532S,외부,,,Process_entered,,4138.906466147653,
64,32.0,A0003_B532S,외부,,,routing_ended,,,
65,32.0,A0003_B141S,외부,외부_12,,work_start,,,
66,32.0,A0005_V920A,외부,,,Process_entered,,4437.615040328771,
67,32.0,A0005_V920A,외부,,,routing_ended,,,
68,32.0,A0003_B532S,외부,외부_13,,work_start,,,
69,32.0,A0005_V940A,외부,,,Process_entered,,4736.323614509889,
70,32.0,A0005_V940A,외부,,,routing_ended,,,
71,32.0,A0005_V920A,외부,외부_14,,work_start,,,
72,32.0,A0005_V960A,외부,,,Process_entered,,5035.032188691007,
73,32.0,A0005_V960A,외부,,,routing_ended,,,
74,32.0,A0005_V940A,외부,외부_15,,work_start,,,
75,32.0,A0005_V980A,외부,,,Process_entered,,5333.740762872125,
76,32.0,A0005_V980A,외부,,,routing_ended,,,
77,32.0,A0005_V960A,외부,외부_16,,work_start,,,
78,32.0,A0005_V980A,외부,외부_17,,work_start,,,
79,33.0,A0005_V930A,,,,part_created,,,
80,33.0,A0005_V970A,,,,part_created,,,
81,33.0,A0005_V930A,외부,,,Process_entered,,5632.449337053243,
82,33.0,A0005_V930A,외부,,,routing_ended,,,
83,33.0,A0005_V970A,외부,,,Process_entered,,5931.157911234361,
84,33.0,A0005_V970A,외부,,,routing_ended,,,
85,33.0,A0005_V930A,외부,외부_18,,work_start,,,
86,33.0,A0005_V970A,외부,외부_19,,work_start,,,
87,34.0,A0004_A610A,,,,part_created,,,
88,34.0,A0004_A610A,외부,,,Process_entered,,6258.898943647326,
89,34.0,A0004_A610A,외부,,,routing_ended,,,
90,34.0,A0004_A610A,외부,외부_20,,work_start,,,
91,35.0,A0003_B131P,외부,외부_6,,work_finish,,,
92,35.0,A0003_B131P,외부,외부_6,,"part_transferred_to_out_buffer, step = 0",,5968.898943647326,
93,35.0,A0003_B141P,외부,외부_7,,work_finish,,,
94,35.0,A0003_B141P,외부,외부_7,,"part_transferred_to_out_buffer, step = 0",,5722.398943647326,
95,35.0,A0003_B532P,외부,외부_8,,work_finish,,,
96,35.0,A0003_B532P,외부,외부_8,,"part_transferred_to_out_buffer, step = 0",,5442.398943647326,
97,35.0,A0003_B131P,Sink,,,go to parent block,,,
98,35.0,A0003_B131P,Sink,,,completed,,,
99,35.0,A0003_B141P,Sink,,,go to parent block,,,
100,35.0,A0003_B141P,Sink,,,completed,,,
101,35.0,A0003_B532P,Sink,,,completed,,,
102,36.0,A0003_B131S,외부,외부_11,,work_finish,,,
103,36.0,A0003_B131S,외부,외부_11,,"part_transferred_to_out_buffer, step = 0",,5152.398943647326,
104,36.0,A0003_B141S,외부,외부_12,,work_finish,,,
105,36.0,A0003_B141S,외부,외부_12,,"part_transferred_to_out_buffer, step = 0",,4905.898943647326,
106,36.0,A0003_B532S,외부,외부_13,,work_finish,,,
107,36.0,A0003_B532S,외부,외부_13,,"part_transferred_to_out_buffer, step = 0",,4625.898943647326,
108,36.0,A0003_B133P,,,,part_created,,,
109,36.0,A0003_B13P0,,,,part_created,,,
110,36.0,A0003_B143P,,,,part_created,,,
111,36.0,A0003_B14P0,,,,part_created,,,
112,36.0,A0003_B530P,,,,part_created,,,
113,36.0,A0003_B536P,,,,part_created,,,
114,36.0,A0003_B53P0,,,,part_created,,,
115,36.0,A0003_B541P,,,,part_created,,,
116,36.0,A0003_B543P,,,,part_created,,,
117,36.0,A0003_B547P,,,,part_created,,,
118,36.0,A0003_B131S,Sink,,,go to parent block,,,
119,36.0,A0003_B131S,Sink,,,completed,,,
120,36.0,A0003_B141S,Sink,,,go to parent block,,,
121,36.0,A0003_B141S,Sink,,,completed,,,
122,36.0,A0003_B532S,Sink,,,completed,,,
123,36.0,A0003_B133P,외부,,,Process_entered,,4915.898943647326,
124,36.0,A0003_B133P,외부,,,routing_ended,,,
125,36.0,A0003_B13P0,외부,,,Process_entered,,5205.898943647326,
126,36.0,A0003_B13P0,외부,,,routing_ended,,,
127,36.0,A0003_B133P,외부,외부_21,,work_start,,,
128,36.0,A0003_B143P,외부,,,Process_entered,,5452.398943647326,
129,36.0,A0003_B143P,외부,,,routing_ended,,,
130,36.0,A0003_B13P0,외부,외부_22,,work_start,,,
131,36.0,A0003_B14P0,외부,,,Process_entered,,5698.898943647326,
132,36.0,A0003_B14P0,외부,,,routing_ended,,,
133,36.0,A0003_B143P,외부,외부_23,,work_start,,,
134,36.0,A0003_B530P,외부,,,Process_entered,,5898.898943647326,
135,36.0,A0003_B530P,외부,,,routing_ended,,,
136,36.0,A0003_B14P0,외부,외부_24,,work_start,,,
137,36.0,A0003_B536P,외부,,,Process_entered,,6078.898943647326,
138,36.0,A0003_B536P,외부,,,routing_ended,,,
139,36.0,A0003_B530P,외부,외부_25,,work_start,,,
140,36.0,A0003_B53P0,외부,,,Process_entered,,6358.898943647326,
141,36.0,A0003_B53P0,외부,,,routing_ended,,,
142,36.0,A0003_B536P,외부,외부_26,,work_start,,,
143,36.0,A0003_B541P,외부,,,Process_entered,,6511.898943647326,
144,36.0,A0003_B541P,외부,,,routing_ended,,,
145,36.0,A0003_B53P0,외부,외부_27,,work_start,,,
146,36.0,A0003_B543P,외부,,,Process_entered,,6732.898943647326,
147,36.0,A0003_B543P,외부,,,routing_ended,,,
148,36.0,A0003_B541P,외부,외부_28,,work_start,,,
149,36.0,A0003_B547P,외부,,,Process_entered,,6894.398943647326,
150,36.0,A0003_B547P,외부,,,routing_ended,,,
151,36.0,A0003_B543P,외부,외부_29,,work_start,,,
152,36.0,A0003_B547P,외부,외부_30,,work_start,,,
153,37.0,A0003_B133S,,,,part_created,,,
154,37.0,A0003_B13S0,,,,part_created,,,
155,37.0,A0003_B143S,,,,part_created,,,
156,37.0,A0003_B14S0,,,,part_created,,,
157,37.0,A0003_B530S,,,,part_created,,,
158,37.0,A0003_B536S,,,,part_created,,,
159,37.0,A0003_B53S0,,,,part_created,,,
160,37.0,A0003_B541S,,,,part_created,,,
161,37.0,A0003_B543S,,,,part_created,,,
162,37.0,A0003_B547S,,,,part_created,,,
163,37.0,A0003_B133S,외부,,,Process_entered,,7184.398943647326,
164,37.0,A0003_B133S,외부,,,routing_ended,,,
165,37.0,A0003_B13S0,외부,,,Process_entered,,7474.398943647326,
166,37.0,A0003_B13S0,외부,,,routing_ended,,,
167,37.0,A0003_B133S,외부,외부_31,,work_start,,,
168,37.0,A0003_B143S,외부,,,Process_entered,,7720.898943647326,
169,37.0,A0003_B143S,외부,,,routing_ended,,,
170,37.0,A0003_B13S0,외부,외부_32,,work_start,,,
171,37.0,A0003_B14S0,외부,,,Process_entered,,7967.398943647326,
172,37.0,A0003_B14S0,외부,,,routing_ended,,,
173,37.0,A0003_B143S,외부,외부_33,,work_start,,,
174,37.0,A0003_B530S,외부,,,Process_entered,,8167.398943647326,
175,37.0,A0003_B530S,외부,,,routing_ended,,,
176,37.0,A0003_B14S0,외부,외부_34,,work_start,,,
177,37.0,A0003_B536S,외부,,,Process_entered,,8347.398943647326,
178,37.0,A0003_B536S,외부,,,routing_ended,,,
179,37.0,A0003_B530S,외부,외부_35,,work_start,,,
180,37.0,A0003_B53S0,외부,,,Process_entered,,8627.398943647326,
181,37.0,A0003_B53S0,외부,,,routing_ended,,,
182,37.0,A0003_B536S,외부,외부_36,,work_start,,,
183,37.0,A0003_B541S,외부,,,Process_entered,,8780.398943647326,
184,37.0,A0003_B541S,외부,,,routing_ended,,,
185,37.0,A0003_B53S0,외부,외부_37,,work_start,,,
186,37.0,A0003_B543S,외부,,,Process_entered,,9001.398943647326,
187,37.0,A0003_B543S,외부,,,routing_ended,,,
188,37.0,A0003_B541S,외부,외부_38,,work_start,,,
189,37.0,A0003_B547S,외부,,,Process_entered,,9162.898943647326,
190,37.0,A0003_B547S,외부,,,routing_ended,,,
191,37.0,A0003_B543S,외부,외부_39,,work_start,,,
192,37.0,A0003_B547S,외부,외부_40,,work_start,,,
193,39.0,A0003_B133P,외부,외부_21,,work_finish,,,
194,39.0,A0003_B133P,외부,외부_21,,"part_transferred_to_out_buffer, step = 0",,8872.898943647326,
195,39.0,A0003_B143P,외부,외부_23,,work_finish,,,
196,39.0,A0003_B143P,외부,외부_23,,"part_transferred_to_out_buffer, step = 0",,8626.398943647326,
197,39.0,A0003_B133P,Sink,,,go to parent block,,,
198,39.0,A0003_B133P,Sink,,,completed,,,
199,39.0,A0003_B143P,Sink,,,go to parent block,,,
200,39.0,A0003_B143P,Sink,,,completed,,,
201,42.0,A0003_B133S,외부,외부_31,,work_finish,,,
202,42.0,A0003_B133S,외부,외부_31,,"part_transferred_to_out_buffer, step = 0",,8336.398943647326,
203,42.0,A0003_B143S,외부,외부_33,,work_finish,,,
204,42.0,A0003_B143S,외부,외부_33,,"part_transferred_to_out_buffer, step = 0",,8089.898943647326,
205,42.0,A0003_B133S,Sink,,,go to parent block,,,
206,42.0,A0003_B133S,Sink,,,completed,,,
207,42.0,A0003_B143S,Sink,,,go to parent block,,,
208,42.0,A0003_B143S,Sink,,,completed,,,
209,43.0,A0003_B543P,외부,외부_29,,work_finish,,,
210,43.0,A0003_B543P,외부,외부_29,,"part_transferred_to_out_buffer, step = 0",,7868.898943647326,
211,43.0,A0003_B547P,외부,외부_30,,work_finish,,,
212,43.0,A0003_B547P,외부,외부_30,,"part_transferred_to_out_buffer, step = 0",,7707.398943647326,
213,43.0,A0003_A111P,,,,part_created,,,
214,43.0,A0003_A111S,,,,part_created,,,
215,43.0,A0003_B543P,Sink,,,completed,,,
216,43.0,A0003_B547P,Sink,,,completed,,,
217,43.0,A0003_A111P,외부,,,Process_entered,,7965.419408249096,
218,43.0,A0003_A111P,외부,,,routing_ended,,,
219,43.0,A0003_A111S,외부,,,Process_entered,,8223.439872850866,
220,43.0,A0003_A111S,외부,,,routing_ended,,,
221,43.0,A0003_A111P,외부,외부_41,,work_start,,,
222,43.0,A0003_A111S,외부,외부_42,,work_start,,,
223,44.0,A0003_B530P,외부,외부_25,,work_finish,,,
224,44.0,A0003_B530P,외부,외부_25,,"part_transferred_to_out_buffer, step = 0",,8023.439872850866,
225,44.0,A0003_B536P,외부,외부_26,,work_finish,,,
226,44.0,A0003_B536P,외부,외부_26,,"part_transferred_to_out_buffer, step = 0",,7843.439872850866,
227,44.0,A0003_B541P,외부,외부_28,,work_finish,,,
228,44.0,A0003_B541P,외부,외부_28,,"part_transferred_to_out_buffer, step = 0",,7690.439872850866,
229,44.0,A0003_B543S,외부,외부_39,,work_finish,,,
230,44.0,A0003_B543S,외부,외부_39,,"part_transferred_to_out_buffer, step = 0",,7469.439872850866,
231,44.0,A0003_B547S,외부,외부_40,,work_finish,,,
232,44.0,A0003_B547S,외부,외부_40,,"part_transferred_to_out_buffer, step = 0",,7307.939872850866,
233,44.0,A0003_B530P,Sink,,,completed,,,
234,44.0,A0003_B536P,Sink,,,completed,,,
235,44.0,A0003_B541P,Sink,,,go to parent block,,,
236,44.0,A0003_B541P,Sink,,,completed,,,
237,44.0,A0003_B543S,Sink,,,completed,,,
238,44.0,A0003_B547S,Sink,,,completed,,,
239,44.0,A0003_B54P0,,,,part_created,,,
240,44.0,A0003_B54P0,외부,,,Process_entered,,7460.939872850866,
241,44.0,A0003_B54P0,외부,,,routing_ended,,,
242,44.0,A0003_B54P0,외부,외부_43,,work_start,,,
243,45.0,A0003_B530S,외부,외부_35,,work_finish,,,
244,45.0,A0003_B530S,외부,외부_35,,"part_transferred_to_out_buffer, step = 0",,7260.939872850866,
245,45.0,A0003_B536S,외부,외부_36,,work_finish,,,
246,45.0,A0003_B536S,외부,외부_36,,"part_transferred_to_out_buffer, step = 0",,7080.939872850866,
247,45.0,A0003_B541S,외부,외부_38,,work_finish,,,
248,45.0,A0003_B541S,외부,외부_38,,"part_transferred_to_out_buffer, step = 0",,6927.939872850866,
249,45.0,A0003_B530S,Sink,,,completed,,,
250,45.0,A0003_B536S,Sink,,,completed,,,
251,45.0,A0003_B541S,Sink,,,go to parent block,,,
252,45.0,A0003_B541S,Sink,,,completed,,,
253,45.0,A0003_B54S0,,,,part_created,,,
254,45.0,A0003_B54S0,외부,,,Process_entered,,7080.939872850866,
255,45.0,A0003_B54S0,외부,,,routing_ended,,,
256,45.0,A0003_B54S0,외부,외부_44,,work_start,,,
257,47.0,A0005_F810A,,,,part_created,,,
258,47.0,A0005_F810A,외부,,,Process_entered,,7379.648447031984,
259,47.0,A0005_F810A,외부,,,routing_ended,,,
260,47.0,A0005_F810A,외부,외부_45,,work_start,,,
261,51.0,A0003_A111P,외부,외부_41,,work_finish,,,
262,51.0,A0003_A111P,외부,외부_41,,"part_transferred_to_out_buffer, step = 0",,7121.627982430214,
263,51.0,A0003_A111S,외부,외부_42,,work_finish,,,
264,51.0,A0003_A111S,외부,외부_42,,"part_transferred_to_out_buffer, step = 0",,6863.607517828444,
265,51.0,A0003_A111P,Sink,,,go to parent block,,,
266,51.0,A0003_A111P,Sink,,,completed,,,
267,51.0,A0003_A111S,Sink,,,go to parent block,,,
268,51.0,A0003_A111S,Sink,,,completed,,,
269,52.0,A0005_V410P,,,,part_created,,,
270,52.0,A0005_V410S,,,,part_created,,,
271,52.0,A0005_V413P,,,,part_created,,,
272,52.0,A0005_V413S,,,,part_created,,,
273,52.0,A0005_V414P,,,,part_created,,,
274,52.0,A0005_V414S,,,,part_created,,,
275,52.0,A0005_V415P,,,,part_created,,,
276,52.0,A0005_V418P,,,,part_created,,,
277,52.0,A0005_V418S,,,,part_created,,,
278,52.0,A0005_V420P,,,,part_created,,,
279,52.0,A0005_V420S,,,,part_created,,,
280,52.0,A0005_V423P,,,,part_created,,,
281,52.0,A0005_V423S,,,,part_created,,,
282,52.0,A0005_V424P,,,,part_created,,,
283,52.0,A0005_V428P,,,,part_created,,,
284,52.0,A0005_V428S,,,,part_created,,,
285,52.0,A0005_V430P,,,,part_created,,,
286,52.0,A0005_V430S,,,,part_created,,,
287,52.0,A0005_V433P,,,,part_created,,,
288,52.0,A0005_V433S,,,,part_created,,,
289,52.0,A0005_V434P,,,,part_created,,,
290,52.0,A0005_V438P,,,,part_created,,,
291,52.0,A0005_V438S,,,,part_created,,,
292,52.0,A0005_V440P,,,,part_created,,,
293,52.0,A0005_V440S,,,,part_created,,,
294,52.0,A0005_V443P,,,,part_created,,,
295,52.0,A0005_V443S,,,,part_created,,,
296,52.0,A0005_V444P,,,,part_created,,,
297,52.0,A0005_V448P,,,,part_created,,,
298,52.0,A0005_V448S,,,,part_created,,,
299,52.0,A0005_V450A,,,,part_created,,,
300,52.0,A0005_V410P,외부,,,Process_entered,,7162.3160920095615,
301,52.0,A0005_V410P,외부,,,routing_ended,,,
302,52.0,A0005_V410S,외부,,,Process_entered,,7461.024666190679,
303,52.0,A0005_V410S,외부,,,routing_ended,,,
304,52.0,A0005_V410P,외부,외부_46,,work_start,,,
305,52.0,A0005_V413P,외부,,,Process_entered,,7759.733240371797,
306,52.0,A0005_V413P,외부,,,routing_ended,,,
307,52.0,A0005_V410S,외부,외부_47,,work_start,,,
308,52.0,A0005_V413S,외부,,,Process_entered,,8058.441814552915,
309,52.0,A0005_V413S,외부,,,routing_ended,,,
310,52.0,A0005_V413P,외부,외부_48,,work_start,,,
311,52.0,A0005_V414P,외부,,,Process_entered,,8357.150388734033,
312,52.0,A0005_V414P,외부,,,routing_ended,,,
313,52.0,A0005_V413S,외부,외부_49,,work_start,,,
314,52.0,A0005_V414S,외부,,,Process_entered,,8655.85896291515,
315,52.0,A0005_V414S,외부,,,routing_ended,,,
316,52.0,A0005_V414P,외부,외부_50,,work_start,,,
317,52.0,A0005_V415P,외부,,,Process_entered,,8954.567537096267,
318,52.0,A0005_V415P,외부,,,routing_ended,,,
319,52.0,A0005_V414S,외부,외부_51,,work_start,,,
320,52.0,A0005_V418P,외부,,,Process_entered,,9292.817537096267,
321,52.0,A0005_V418P,외부,,,routing_ended,,,
322,52.0,A0005_V415P,외부,외부_52,,work_start,,,
323,52.0,A0005_V418S,외부,,,Process_entered,,9631.067537096267,
324,52.0,A0005_V418S,외부,,,routing_ended,,,
325,52.0,A0005_V418P,외부,외부_53,,work_start,,,
326,52.0,A0005_V420P,외부,,,Process_entered,,9929.776111277384,
327,52.0,A0005_V420P,외부,,,routing_ended,,,
328,52.0,A0005_V418S,외부,외부_54,,work_start,,,
329,52.0,A0005_V420S,외부,,,Process_entered,,10228.484685458501,
330,52.0,A0005_V420S,외부,,,routing_ended,,,
331,52.0,A0005_V420P,외부,외부_55,,work_start,,,
332,52.0,A0005_V423P,외부,,,Process_entered,,10527.193259639618,
333,52.0,A0005_V423P,외부,,,routing_ended,,,
334,52.0,A0005_V420S,외부,외부_56,,work_start,,,
335,52.0,A0005_V423S,외부,,,Process_entered,,10825.901833820735,
336,52.0,A0005_V423S,외부,,,routing_ended,,,
337,52.0,A0005_V423P,외부,외부_57,,work_start,,,
338,52.0,A0005_V424P,외부,,,Process_entered,,11124.610408001852,
339,52.0,A0005_V424P,외부,,,routing_ended,,,
340,52.0,A0005_V423S,외부,외부_58,,work_start,,,
341,52.0,A0005_V428P,외부,,,Process_entered,,11396.860408001852,
342,52.0,A0005_V428P,외부,,,routing_ended,,,
343,52.0,A0005_V424P,외부,외부_59,,work_start,,,
344,52.0,A0005_V428S,외부,,,Process_entered,,11759.860408001852,
345,52.0,A0005_V428S,외부,,,routing_ended,,,
346,52.0,A0005_V428P,외부,외부_60,,work_start,,,
347,52.0,A0005_V430P,외부,,,Process_entered,,12058.56898218297,
348,52.0,A0005_V430P,외부,,,routing_ended,,,
349,52.0,A0005_V428S,외부,외부_61,,work_start,,,
350,52.0,A0005_V430S,외부,,,Process_entered,,12357.277556364086,
351,52.0,A0005_V430S,외부,,,routing_ended,,,
352,52.0,A0005_V430P,외부,외부_62,,work_start,,,
353,52.0,A0005_V433P,외부,,,Process_entered,,12655.986130545203,
354,52.0,A0005_V433P,외부,,,routing_ended,,,
355,52.0,A0005_V430S,외부,외부_63,,work_start,,,
356,52.0,A0005_V433S,외부,,,Process_entered,,12954.69470472632,
357,52.0,A0005_V433S,외부,,,routing_ended,,,
358,52.0,A0005_V433P,외부,외부_64,,work_start,,,
359,52.0,A0005_V434P,외부,,,Process_entered,,13253.403278907437,
360,52.0,A0005_V434P,외부,,,routing_ended,,,
361,52.0,A0005_V433S,외부,외부_65,,work_start,,,
362,52.0,A0005_V438P,외부,,,Process_entered,,13591.653278907437,
363,52.0,A0005_V438P,외부,,,routing_ended,,,
364,52.0,A0005_V434P,외부,외부_66,,work_start,,,
365,52.0,A0005_V438S,외부,,,Process_entered,,13929.903278907437,
366,52.0,A0005_V438S,외부,,,routing_ended,,,
367,52.0,A0005_V438P,외부,외부_67,,work_start,,,
368,52.0,A0005_V440P,외부,,,Process_entered,,14228.611853088554,
369,52.0,A0005_V440P,외부,,,routing_ended,,,
370,52.0,A0005_V438S,외부,외부_68,,work_start,,,
371,52.0,A0005_V440S,외부,,,Process_entered,,14527.320427269671,
372,52.0,A0005_V440S,외부,,,routing_ended,,,
373,52.0,A0005_V440P,외부,외부_69,,work_start,,,
374,52.0,A0005_V443P,외부,,,Process_entered,,14826.029001450788,
375,52.0,A0005_V443P,외부,,,routing_ended,,,
376,52.0,A0005_V440S,외부,외부_70,,work_start,,,
377,52.0,A0005_V443S,외부,,,Process_entered,,15124.737575631905,
378,52.0,A0005_V443S,외부,,,routing_ended,,,
379,52.0,A0005_V443P,외부,외부_71,,work_start,,,
380,52.0,A0005_V444P,외부,,,Process_entered,,15423.446149813022,
381,52.0,A0005_V444P,외부,,,routing_ended,,,
382,52.0,A0005_V443S,외부,외부_72,,work_start,,,
383,52.0,A0005_V448P,외부,,,Process_entered,,15695.696149813022,
384,52.0,A0005_V448P,외부,,,routing_ended,,,
385,52.0,A0005_V444P,외부,외부_73,,work_start,,,
386,52.0,A0005_V448S,외부,,,Process_entered,,15967.946149813022,
387,52.0,A0005_V448S,외부,,,routing_ended,,,
388,52.0,A0005_V448P,외부,외부_74,,work_start,,,
389,52.0,A0005_V450A,외부,,,Process_entered,,15997.946149813022,
390,52.0,A0005_V450A,외부,,,routing_ended,,,
391,52.0,A0005_V448S,외부,외부_75,,work_start,,,
392,52.0,A0005_V450A,외부,외부_76,,"part_transferred_to_out_buffer, step = 0",,15967.946149813022,
393,52.0,A0005_V450A,Sink,,,go to parent block,,,
394,52.0,A0005_V450A,Sink,,,completed,,,
395,53.0,A0005_V110P,,,,part_created,,,
396,53.0,A0005_V110S,,,,part_created,,,
397,53.0,A0005_V113P,,,,part_created,,,
398,53.0,A0005_V114P,,,,part_created,,,
399,53.0,A0005_V116P,,,,part_created,,,
400,53.0,A0005_V116S,,,,part_created,,,
401,53.0,A0005_V118P,,,,part_created,,,
402,53.0,A0005_V118S,,,,part_created,,,
403,53.0,A0005_V120P,,,,part_created,,,
404,53.0,A0005_V120S,,,,part_created,,,
405,53.0,A0005_V123P,,,,part_created,,,
406,53.0,A0005_V123S,,,,part_created,,,
407,53.0,A0005_V124P,,,,part_created,,,
408,53.0,A0005_V126P,,,,part_created,,,
409,53.0,A0005_V126S,,,,part_created,,,
410,53.0,A0005_V128P,,,,part_created,,,
411,53.0,A0005_V128S,,,,part_created,,,
412,53.0,A0005_V130P,,,,part_created,,,
413,53.0,A0005_V130S,,,,part_created,,,
414,53.0,A0005_V133P,,,,part_created,,,
415,53.0,A0005_V134P,,,,part_created,,,
416,53.0,A0005_V136P,,,,part_created,,,
417,53.0,A0005_V136S,,,,part_created,,,
418,53.0,A0005_V138P,,,,part_created,,,
419,53.0,A0005_V138S,,,,part_created,,,
420,53.0,A0005_V140P,,,,part_created,,,
421,53.0,A0005_V140S,,,,part_created,,,
422,53.0,A0005_V143P,,,,part_created,,,
423,53.0,A0005_V143S,,,,part_created,,,
424,53.0,A0005_V144P,,,,part_created,,,
425,53.0,A0005_V148P,,,,part_created,,,
426,53.0,A0005_V148S,,,,part_created,,,
427,53.0,A0005_V150A,,,,part_created,,,
428,53.0,A0005_V250A,,,,part_created,,,
429,53.0,A0005_V310P,,,,part_created,,,
430,53.0,A0005_V310S,,,,part_created,,,
431,53.0,A0005_V313P,,,,part_created,,,
432,53.0,A0005_V313S,,,,part_created,,,
433,53.0,A0005_V314P,,,,part_created,,,
434,53.0,A0005_V314S,,,,part_created,,,
435,53.0,A0005_V315P,,,,part_created,,,
436,53.0,A0005_V318P,,,,part_created,,,
437,53.0,A0005_V318S,,,,part_created,,,
438,53.0,A0005_V320P,,,,part_created,,,
439,53.0,A0005_V320S,,,,part_created,,,
440,53.0,A0005_V323P,,,,part_created,,,
441,53.0,A0005_V323S,,,,part_created,,,
442,53.0,A0005_V324P,,,,part_created,,,
443,53.0,A0005_V328P,,,,part_created,,,
444,53.0,A0005_V328S,,,,part_created,,,
445,53.0,A0005_V330P,,,,part_created,,,
446,53.0,A0005_V330S,,,,part_created,,,
447,53.0,A0005_V333P,,,,part_created,,,
448,53.0,A0005_V333S,,,,part_created,,,
449,53.0,A0005_V334P,,,,part_created,,,
450,53.0,A0005_V338P,,,,part_created,,,
451,53.0,A0005_V338S,,,,part_created,,,
452,53.0,A0005_V340P,,,,part_created,,,
453,53.0,A0005_V340S,,,,part_created,,,
454,53.0,A0005_V343P,,,,part_created,,,
455,53.0,A0005_V343S,,,,part_created,,,
456,53.0,A0005_V344P,,,,part_created,,,
457,53.0,A0005_V348P,,,,part_created,,,
458,53.0,A0005_V348S,,,,part_created,,,
459,53.0,A0005_V350A,,,,part_created,,,
460,53.0,A0005_V810A,,,,part_created,,,
461,53.0,A0005_V110P,외부,,,Process_entered,,16266.65472399414,
462,53.0,A0005_V110P,외부,,,routing_ended,,,
463,53.0,A0005_V110S,외부,,,Process_entered,,16565.363298175256,
464,53.0,A0005_V110S,외부,,,routing_ended,,,
465,53.0,A0005_V110P,외부,외부_77,,work_start,,,
466,53.0,A0005_V113P,외부,,,Process_entered,,16864.071872356373,
